algorithm,id,num_states,num_alphabet,eq_count,mq_count,distance,duration
dfa/dynamicTTT,s5_1,4,10,1,10245,1,20
dfa/TTT,s5_1,4,10,3,10229,1,20
dfa/dynamicTTT,s5_2,3,10,1,5725,2,29
dfa/TTT,s5_2,3,10,2,5672,2,24
dfa/dynamicTTT,s5_3,2,10,1,2428,3,11
dfa/TTT,s5_3,2,10,1,2352,3,9
dfa/dynamicTTT,s5_4,1,10,1,1364,4,4
dfa/TTT,s5_4,1,10,1,1232,4,2
dfa/dynamicTTT,s5_6,4,10,3,11344,1,23
dfa/TTT,s5_6,4,10,3,11264,1,21
dfa/dynamicTTT,s5_7,3,10,2,6166,2,24
dfa/TTT,s5_7,3,10,2,6093,2,24
dfa/dynamicTTT,s5_8,2,10,1,2428,3,9
dfa/TTT,s5_8,2,10,1,2352,3,9
dfa/dynamicTTT,s5_9,1,10,1,1318,4,6
dfa/TTT,s5_9,1,10,1,1232,4,5
dfa/dynamicTTT,s5_11,4,10,2,9633,1,21
dfa/TTT,s5_11,4,10,3,9597,1,21
dfa/dynamicTTT,s5_12,3,10,2,5932,2,12
dfa/TTT,s5_12,3,10,2,5848,2,18
dfa/dynamicTTT,s5_13,1,10,1,1318,3,5
dfa/TTT,s5_13,1,10,1,1232,3,6
dfa/dynamicTTT,s5_15,4,10,1,9703,1,41
dfa/TTT,s5_15,4,10,3,9783,1,25
dfa/dynamicTTT,s5_16,3,10,2,5858,2,13
dfa/TTT,s5_16,3,10,2,5765,2,12
dfa/dynamicTTT,s5_17,2,10,1,2469,3,5
dfa/TTT,s5_17,2,10,1,2352,3,5
dfa/dynamicTTT,s5_18,1,10,1,1318,4,3
dfa/TTT,s5_18,1,10,1,1232,4,2
dfa/dynamicTTT,s5_20,4,10,2,9324,1,20
dfa/TTT,s5_20,4,10,3,9283,1,19
dfa/dynamicTTT,s5_21,3,10,2,6265,2,12
dfa/TTT,s5_21,3,10,2,6227,2,12
dfa/dynamicTTT,s5_22,2,10,1,2463,3,4
dfa/TTT,s5_22,2,10,1,2352,3,4
dfa/dynamicTTT,s5_23,1,10,1,1272,4,2
dfa/TTT,s5_23,1,10,1,1232,4,2
dfa/dynamicTTT,s5_25,4,10,2,10844,1,51
dfa/TTT,s5_25,4,10,3,10782,1,55
dfa/dynamicTTT,s5_26,3,10,1,5923,2,17
dfa/TTT,s5_26,3,10,2,5858,2,11
dfa/dynamicTTT,s5_27,2,10,1,2467,3,5
dfa/TTT,s5_27,2,10,1,2352,3,4
dfa/dynamicTTT,s5_28,1,10,1,1364,4,2
dfa/TTT,s5_28,1,10,1,1232,4,2
dfa/dynamicTTT,s5_30,4,10,2,9249,1,20
dfa/TTT,s5_30,4,10,3,9251,1,19
dfa/dynamicTTT,s5_31,3,10,2,6185,2,12
dfa/TTT,s5_31,3,10,2,6145,2,13
dfa/dynamicTTT,s5_32,1,10,1,1272,3,2
dfa/TTT,s5_32,1,10,1,1232,3,2
dfa/dynamicTTT,s5_33,1,10,1,1272,4,2
dfa/TTT,s5_33,1,10,1,1232,4,2
dfa/dynamicTTT,s5_35,4,10,3,10964,1,26
dfa/TTT,s5_35,4,10,3,10873,1,20
dfa/dynamicTTT,s5_36,3,10,2,6042,2,12
dfa/TTT,s5_36,3,10,2,5949,2,12
dfa/dynamicTTT,s5_37,2,10,1,2464,3,5
dfa/TTT,s5_37,2,10,1,2352,3,5
dfa/dynamicTTT,s5_38,1,10,1,1318,4,2
dfa/TTT,s5_38,1,10,1,1232,4,2
dfa/dynamicTTT,s5_40,1,10,1,1410,1,3
dfa/TTT,s5_40,1,10,1,1232,1,2
dfa/dynamicTTT,s5_41,3,10,1,5339,2,11
dfa/TTT,s5_41,3,10,2,5321,2,10
dfa/dynamicTTT,s5_42,2,10,1,2488,3,5
dfa/TTT,s5_42,2,10,1,2352,3,5
dfa/dynamicTTT,s5_43,1,10,1,1410,4,3
dfa/TTT,s5_43,1,10,1,1232,4,2
dfa/dynamicTTT,s5_45,4,10,2,9369,1,19
dfa/TTT,s5_45,4,10,3,9338,1,19
dfa/dynamicTTT,s5_46,3,10,2,6227,2,17
dfa/TTT,s5_46,3,10,2,6139,2,13
dfa/dynamicTTT,s5_47,2,10,1,2431,3,5
dfa/TTT,s5_47,2,10,1,2352,3,8
dfa/dynamicTTT,s5_48,1,10,1,1272,4,3
dfa/TTT,s5_48,1,10,1,1232,4,3
dfa/dynamicTTT,s5_50,4,10,3,11082,1,27
dfa/TTT,s5_50,4,10,3,10995,1,21
dfa/dynamicTTT,s5_51,3,10,2,6300,2,12
dfa/TTT,s5_51,3,10,2,6216,2,12
dfa/dynamicTTT,s5_52,2,10,1,2447,3,5
dfa/TTT,s5_52,2,10,1,2352,3,5
dfa/dynamicTTT,s5_53,1,10,1,1318,4,3
dfa/TTT,s5_53,1,10,1,1232,4,2
dfa/dynamicTTT,s5_55,4,10,3,10761,1,21
dfa/TTT,s5_55,4,10,3,10687,1,24
dfa/dynamicTTT,s5_56,3,10,2,6050,2,13
dfa/TTT,s5_56,3,10,2,5966,2,12
dfa/dynamicTTT,s5_57,2,10,1,2466,3,5
dfa/TTT,s5_57,2,10,1,2352,3,5
dfa/dynamicTTT,s5_58,1,10,1,1318,4,2
dfa/TTT,s5_58,1,10,1,1232,4,2
dfa/dynamicTTT,s5_60,4,10,2,9864,1,37
dfa/TTT,s5_60,4,10,3,9862,1,40
dfa/dynamicTTT,s5_61,3,10,2,5870,2,25
dfa/TTT,s5_61,3,10,2,5773,2,15
dfa/dynamicTTT,s5_62,2,10,1,2446,3,6
dfa/TTT,s5_62,2,10,1,2352,3,5
dfa/dynamicTTT,s5_63,1,10,1,1272,4,2
dfa/TTT,s5_63,1,10,1,1232,4,2
dfa/dynamicTTT,s5_65,4,10,3,11711,1,24
dfa/TTT,s5_65,4,10,3,11610,1,26
dfa/dynamicTTT,s5_66,3,10,2,6735,2,15
dfa/TTT,s5_66,3,10,2,6635,2,18
dfa/dynamicTTT,s5_67,2,10,1,2438,3,4
dfa/TTT,s5_67,2,10,1,2352,3,5
dfa/dynamicTTT,s5_68,1,10,1,1272,4,3
dfa/TTT,s5_68,1,10,1,1232,4,2
dfa/dynamicTTT,s5_70,1,10,1,1364,1,3
dfa/TTT,s5_70,1,10,1,1232,1,3
dfa/dynamicTTT,s5_71,3,10,2,5689,2,13
dfa/TTT,s5_71,3,10,2,5574,2,13
dfa/dynamicTTT,s5_72,2,10,1,2468,3,7
dfa/TTT,s5_72,2,10,1,2352,3,5
dfa/dynamicTTT,s5_73,1,10,1,1364,4,2
dfa/TTT,s5_73,1,10,1,1232,4,2
dfa/dynamicTTT,s5_75,4,10,2,9258,1,20
dfa/TTT,s5_75,4,10,3,9290,1,21
dfa/dynamicTTT,s5_76,3,10,1,6356,2,17
dfa/TTT,s5_76,3,10,2,6326,2,17
dfa/dynamicTTT,s5_77,1,10,1,1318,3,2
dfa/TTT,s5_77,1,10,1,1232,3,3
dfa/dynamicTTT,s5_79,4,10,3,10780,1,23
dfa/TTT,s5_79,4,10,3,10653,1,23
dfa/dynamicTTT,s5_80,3,10,2,6166,2,14
dfa/TTT,s5_80,3,10,2,6033,2,14
dfa/dynamicTTT,s5_81,1,10,1,1364,3,2
dfa/TTT,s5_81,1,10,1,1232,3,2
dfa/dynamicTTT,s5_82,1,10,1,1364,4,4
dfa/TTT,s5_82,1,10,1,1232,4,3
dfa/dynamicTTT,s5_84,4,10,2,9335,1,20
dfa/TTT,s5_84,4,10,3,9293,1,22
dfa/dynamicTTT,s5_85,3,10,1,6129,2,13
dfa/TTT,s5_85,3,10,2,6066,2,13
dfa/dynamicTTT,s5_86,2,10,1,2443,3,4
dfa/TTT,s5_86,2,10,1,2352,3,4
dfa/dynamicTTT,s5_87,1,10,1,1272,4,5
dfa/TTT,s5_87,1,10,1,1232,4,3
dfa/dynamicTTT,s5_89,4,10,1,9233,1,23
dfa/TTT,s5_89,4,10,3,9235,1,24
dfa/dynamicTTT,s5_90,3,10,2,6513,2,14
dfa/TTT,s5_90,3,10,2,6439,2,17
dfa/dynamicTTT,s5_91,2,10,1,2447,3,6
dfa/TTT,s5_91,2,10,1,2352,3,5
dfa/dynamicTTT,s5_92,1,10,1,1318,4,2
dfa/TTT,s5_92,1,10,1,1232,4,3
dfa/dynamicTTT,s5_94,4,10,2,11194,1,25
dfa/TTT,s5_94,4,10,3,11139,1,23
dfa/dynamicTTT,s5_95,3,10,1,6147,2,13
dfa/TTT,s5_95,3,10,2,6069,2,14
dfa/dynamicTTT,s5_96,2,10,1,2447,3,6
dfa/TTT,s5_96,2,10,1,2352,3,5
dfa/dynamicTTT,s5_97,1,10,1,1318,4,2
dfa/TTT,s5_97,1,10,1,1232,4,2
